preset_id,matrix_id,matrix_name,preset_name,description,default_install_cost_gold,slot_count,slot_type_1,slot_type_2,slot_type_3,slot_type_4,slot_type_5,used_by_level_instances
MP_OBS_AUDIT_BASIC,M_OBSERVATION,Матрица Взгляда,Аудитный журнал,"Стандартная наблюдаемость: журнал, фильтр шума и ритуальный слот.",1,3,OBS_LOGS,OBS_FILTERS,RITUAL_OBS,,,L1_MILLER_BARN:obs0 | L2_KESHA_CACHE:obs_l2 | L4_ANASTASIA_GOLDEN:obs_l4 | L5_KIRA_API:obs_l5 | L6_MARK_SHARDING:obs_l6 | L7_EDWARD_MULTIDC:audit_l7 | L1_LIBRARY_ORBS:obs1 | L2_GATEWAY_PASS:obs_pass
MP_OBS_ALERTING,M_OBSERVATION,Матрица Взгляда,Сторожевая башня,"Логи, фильтр и алерты — наблюдение с активной реакцией.",2,3,OBS_LOGS,OBS_FILTERS,OBS_ALERTS,,,L3_NEW_CASTLE:obs3
MP_OBS_DOUBLE_LOG_FILTER,M_OBSERVATION,Матрица Взгляда,Двойная летопись,Два потока логов с общим фильтром — подходит для гибридной наблюдаемости.,0,3,OBS_LOGS,OBS_LOGS,OBS_FILTERS,,,L2_LBAAS_FAIR_GATE:obs1
MP_OBS_CHRONICLE,M_OBSERVATION,Матрица Взгляда,Хроника,"Два независимых журнала и ритуал: используется, когда нужны параллельные летописи.",1,3,OBS_LOGS,OBS_LOGS,RITUAL_OBS,,,L5_KIRA_API:chronicle_l5
MP_OBS_COMPLIANCE,M_OBSERVATION,Матрица Взгляда,Палата Комплаенса,"Смешанный контур: логи, release-gate и DR-тест — выносит проверки из delivery.",1,4,OBS_LOGS,CD_GATES,CD_TESTING,RITUAL_OBS,,L7_EDWARD_MULTIDC:compliance_l7
MP_STORAGE_KEEPER,M_STORAGE,Матрица Хранения,Хранилище-Хранитель,"Базовое хранилище: ретенция, квоты и ритуальный слот.",1,3,ST_RETENTION,ST_QUOTA,RITUAL_ST,,,L2_KESHA_CACHE:st_l2 | L6_MARK_SHARDING:st_l6 | L7_EDWARD_MULTIDC:capacity_l7 | L2_GATEWAY_PASS:st_pass | L2_LBAAS_FAIR_GATE:st1 | L3_NEW_CASTLE:st3
MP_STORAGE_INDEXED,M_STORAGE,Матрица Хранения,Индексированный архив,"Хранилище с индексом, квотами и ретенцией — для поисковых сценариев.",0,3,ST_RETENTION,ST_INDEX,ST_QUOTA,,,L1_LIBRARY_ORBS:st1
MP_STORAGE_RETENTION_RITUAL,M_STORAGE,Матрица Хранения,Малый погреб,"Минимальное хранилище: ретенция + ритуальный слот, для коротких уровней.",1,2,ST_RETENTION,RITUAL_ST,,,,L1_MILLER_BARN:st0
MP_STORAGE_BUFFER,M_STORAGE,Матрица Хранения,Маршрутно-Складской Буфер,Совмещённый контур: маршрутизация и квоты в одном — экономит установку.,2,3,NET_ROUTING,ST_QUOTA,RITUAL_NET,,,L6_MARK_SHARDING:buffer_l6
MP_STORAGE_RESERVE,M_STORAGE,Матрица Хранения,Резервный Перевал,"Резервная ёмкость, квоты и аварийный routing в одном дорогом контуре.",1,4,ST_RETENTION,ST_QUOTA,NET_ROUTING,RITUAL_NET,,L7_EDWARD_MULTIDC:reserve_l7
