level_id,order,name,client_name,intro_description,budget_gold,budget_aura,non_critical_aura_penalty,critical_status_ids,critical_status_names,success_text_1,success_text_2,success_text_3,hints_joined,requirements_summary
L1_MILLER_BARN,1,Амбар мельника,Мельник Проспер,"Из амбара мельника Проспера пропадает мука. Магический замок уже стоит — он пускает только работников мельницы. Но кто именно входил и когда — неизвестно. Нужно добавить журнал доступа, чтобы найти виновного.",4,5,2,F1_OVERFLOW | F4_BLINDNESS | F7_CONFUSION,Переполнение | Слепота | Путаница,"Мельник Проспер потирает руки: журнал доступа помог поймать вора с поличным. Замок работает, мука цела. Добрая слава идёт впереди тебя!","Свиток чист, замок крепок, мука в сохранности. Мельник обещает печь пироги для всей деревни в честь мага, который навёл порядок.",,"Магический замок уже пускает только своих — тебе нужно лишь узнать, кто именно входил. || Перо Всевидящего пишет обо всём: мышах, сквозняках, комарах. В таком потоке вора не найти. || Книга Доступа записывает только тех, кто прошёл через замок — именно это нужно мельнику. || Любой журнал будет расти. Добавь самоочистку — иначе замок рано или поздно заклинит от переполнения.",REQ_AUDIT: Журнал доступа — кто и когда входил в амбар (HAS_ACCESS_LOGS)
L2_KESHA_CACHE,2,"Не Иннокентий, а Кеша",Иннокентий «Кеша»,"Старший писец Иннокентий просит превратить личный шар-ускоритель «Редиска» в общий сервис для всех отделов. Шар создавался без изоляции и без контроля роста — теперь каждый отдел хочет его использовать, и всё это одновременно.",6,3,2,F1_OVERFLOW | F3_COMPROMISE,Переполнение | Компрометация,Редиска теперь умеет разговаривать с каждым отделом по отдельности. Кеша облегчённо выдыхает — квартальные отчёты больше не будут ждать в очереди.,"Шар работает по-новому: каждый отдел получает свою долю, и никто не может захватить всю память. Кеша доволен — начальство наконец получило свои 'быстрые овощи'.",,"Редиска изначально не была рассчитана на несколько арендаторов — у неё два унаследованных долга, которые нужно закрыть. || Квоты — единственный способ доказать, что шар умеет 'справедливо делиться'. TTL только чистит старое, но не ограничивает нынешних потребителей. || Путь через Связи стоит ровно на монету больше бюджета — ищи способ сдвинуть экономику в ритуальной зоне.",REQ_QUOTA: Квоты хранения — шар справедливо распределяет память между отделами (HAS_QUOTAS)
L3_GENNADY_LIGHTHOUSE,3,Указатель на перепутье,Геннадий (смотритель перекрёстка),"На перекрёстке трёх торговых путей стоит безымянный указатель Геннадия. Посланники его не находят, узлы никто не проверяет, а маршруты никем не закреплены. Можно поставить алгоритмы — или договориться с посланниками. Каждый путь требует своего.",17,5,2,F3_COMPROMISE | F4_BLINDNESS | F5_FRAGILITY | F7_CONFUSION,Компрометация | Слепота | Хрупкость | Путаница,"Геннадий глядит на перекрёсток. Посланники расходятся по дорожкам сами — Весы делают своё дело, Сердцебиение следит за узлами. «Четыре детали, и всё работает. Хорошо.»","Геннадий разворачивает Карту Земель. «Каждый посланник знает свой путь заранее. Дорого — но надёжно, и ни одного лишнего эффекта.»",,"Два унаследованных дебафа — каждый требует своей карты. || Три матрицы на выбор: Инфраструктурный пост, Стойка маршрутов и Почтовая станция. Установи две. || Дешёвый DNS виден всему миру: без TLS-серта это компрометация (каскад). || Весы Потоков распределяют трафик — но создают новый дебаф перегрузки. Нужна проверка здоровья. || Тайный Адрес и Карта Земель дороже — без каскадов, но требуют ритуала. Почтовая станция подходит для этого пути. || Бюджет рассчитан на один из двух путей. Для дорогого пути нужна Печать Мецената.",
L4_ANASTASIA_GOLDEN,4,Золотой путь Анастасии,Анастасия (платформенная команда),"Анастасия строит платформу: единый шаблон для новых сервисов её команды. Сервисы появляются без TLS, без логов и без healthcheck — каждый на своё усмотрение. Нужен «Золотой путь» — стандарт, который работает из коробки.",17,5,2,F3_COMPROMISE | F4_BLINDNESS | F5_FRAGILITY,Компрометация | Слепота | Хрупкость,"Золотой путь проложен. Каждый новый сервис теперь появляется уже с TLS, логами и healthcheck. Анастасия видит сервисы как на ладони.",Шаблон работает. Команды больше не гадают — просто разворачивают по стандарту.,,"Четыре долга с порога: трафик открыт, доступ не защищён, наблюдаемости нет, узлы скрыты. || Discovery находит узлы, но порождает новый вопрос: а они живы? Healthcheck отвечает. || Logging пишет всё подряд — том растёт. Либо фильтруй, либо отправь стражника в бар.",REQ_FAILOVER: Failover при падении узла (HAS_FAILOVER)
L5_KIRA_API,5,Автоматон-регистратор Киры,Кира Морозова (партнёрская платформа),"Кира Морозова строит единый API-шлюз для партнёров. Шлюз работает, но открыт всем, деплои хаотичны, а аудитного следа нет. Нужны авторизация, зрелый контур доставки (пайплайн, гейты, откат) и журнал доступа.",18,4,2,F3_COMPROMISE | F5_FRAGILITY | F6_NONDELIVERY | F8_AUDIT_GAP | F9_UNREVIEWED_RELEASE | F10_CONTRACT_DRIFT,Компрометация | Хрупкость | Недоставка | Дыра аудита | Непроверенный релиз | Разъезд контрактов,"Доступ закрыт, деплои воспроизводимы, аудит ведётся. Кира наконец-то спит спокойно.",Один партнёр попытался обойти авторизацию — журнал всё зафиксировал. Шлюз устоял.,,"Три долга с порога: доступ, ручные деплои и аудит. Остальные риски появляются каскадом, когда ты начинаешь лечить delivery. || S_API_CICD лечит недоставку, но рождает два хвоста: нужен откат и обязательный MR-гейт. || S_API_MR_GATES закрывает review gate, но после него всплывает разъезд партнёрских контрактов — нужны S_CONTRACT_TESTS. || S_ACCESS_LOGS лечит дыру аудита, но пишет много — нужен фильтр или архивный ритуал. || Печать Мецената в ритуале доставки расширяет лимит ауры — полезно, если берёшь гейты и контрактные тесты.",
L6_MARK_SHARDING,6,Голуби Марка,Марк Игоревич (архив),"Марк Игоревич строит шардированный архив свитков. Три подсистемы: маршрутизация голубей, согласованная схема данных с миграциями, наблюдаемость. Не смешивай два закона маршрутизации без арбитра.",24,6,2,F1_OVERFLOW | F2_CONTRADICTION | F5_FRAGILITY | F11_HOTSPOT | F12_SPLIT_BRAIN | F13_DARK_SHARD | F7_CONFUSION,Переполнение | Противоречие | Хрупкость | Горячий шард | Раскол кворума | Тёмный шард | Путаница,Голуби знают куда лететь. Каждый свиток попадает в правильный шард без переспросов. Марк доволен — архив вырос без хаоса.,Схема едина во всех шардах. Миграции проходят без сюрпризов. Летопись фиксирует каждый полёт.,,"Три новых дебафа с порога: горячий шард маршрутизации, раскол схемы и тёмный шард без летописи. || Маршрутизация: Ключ Шардирования и Якорь Сессии вместе без Арбитра — противоречие (F2). || Ключ Шардирования задаёт маршрут — но шарды сразу растут неравномерно. Перераспределитель лечит дисбаланс, но открывает окно ребаланса и горячий диапазон. || Страж Схемы фиксирует расхождение — но требует миграцию и сухой прогон backfill. Конвейер доставки и откат обязательны. || Репликация лечит drift без CI/CD, но рождает lag и split-brain: нужен синхронизатор реплик и хранитель кворума. || Маршрутно-Складской Буфер экономит матрицу — но без летописи или конвейера останешься слепым или хрупким.",
L7_EDWARD_MULTIDC,7,Ковчеги Эдуарда,Эдуард (инфраструктура),"Эдуард строит резервные обелиски в двух локациях. Доступно семь контуров, но на площадку влезают только четыре. Нужно выбрать матрицы так, чтобы пережить падение дата-центра, проверить аварийное переключение и не захлебнуться на резерве.",30,9,2,F5_FRAGILITY | F1_OVERFLOW | F3_COMPROMISE | F6_NONDELIVERY | F15_FAILOVER_LOOP | F16_CAPACITY_GAP,Хрупкость | Переполнение | Компрометация | Недоставка | Петля failover | Провал резерва,Ковчеги запущены! Первый DC упал на 3 минуты — система даже не заметила. Второй принял трафик автоматически. Эдуард молча кивает — это значит 'отлично'.,Оба обелиска работают в синхронном режиме. Деплои происходят в обе локации без ручного вмешательства. Это и есть надёжность без героизма.,,"У тебя семь матриц, но можно установить только четыре: выбирай контуры, которые закрывают не только DoD, но и стартовые долги. || Обычный Discovery не лечит D_FAILOVER_LOOP — нужен S_GLOBAL_HEALTHCHECK, а после него обязательное DR-учение. || S_REGION_RECONCILER остаётся обязательной зрелой проверкой релиза, но больше не порождает отдельный дебаф. || S_CAPACITY_MIRROR спасает резервную ёмкость, но добавляет D_MIRROR_QUOTA_GAP: без S_QUOTAS второй DC переполнится.",REQ_TLS: TLS (HAS_TLS) || REQ_AUTHZ: Контроль доступа (HAS_AUTHZ) || REQ_FAIL: Автоматический failover между DC (HAS_FAILOVER) || REQ_CICD: Воспроизводимые деплои в оба DC (HAS_CICD) || REQ_LOGS: Наблюдаемость (HAS_LOGS) || REQ_QUOTA: Квоты — контроль роста в обоих DC (HAS_QUOTAS) || REQ_REGION_RECONCILE: Сверка конфигурации регионов (HAS_REGION_RECONCILE) || REQ_DR_DRILL: Проверенное аварийное переключение (HAS_DR_DRILL) || REQ_RESERVE_CAPACITY: Резервная ёмкость второго DC (HAS_RESERVE_CAPACITY)
L1_LIBRARY_ORBS,10,Шар Поиска Фолиантов,Библиотекарь Мирослава,Библиотекарь Мирослава жалуется: шар поиска всегда показывает одну и ту же книгу. Предыдущий маг оставил неуправляемый индекс и незакрытый аудит. Выбери один путь: сетевой журнал через Матрицу Связей или прямые логи через Матрицу Взгляда.,9,4,2,F1_OVERFLOW | F4_BLINDNESS,Переполнение | Слепота,"Шар поиска наконец показывает нужные книги! Мирослава благодарит — аудит ведётся, рост под контролем.","Фолианты найдены, следы оставлены. Библиотека работает как надо.",Предыдущий маг оставил долги — ты закрыл их. Уважение к системному мышлению.,"Уровень стартует с двумя долгами от предыдущего мага — закрой их. || Можно взять только одну опциональную матрицу: Связи дороже, но предсказуемы; Взгляд дешевле, но токсичнее. || Каждый путь имеет свою карту поддержки — ищи её в ритуальной зоне.",REQ_INDEX: Настоящий поиск по индексу (HAS_INDEX) || REQ_AUDIT: Аудит — кто и что искал (HAS_ACCESS_LOGS)
L2_GATEWAY_PASS,3,Врата для посланников,Смотритель Башни,"На Карванном перевале стоит сторожевая башня. Посланники жалуются: то не достучаться, то утекли письма, то никто не знает, кто приходил. Нужна единая точка входа с базовой устойчивостью и следами. Матриц можно поставить только две — выбирай с умом.",18,4,2,F3_COMPROMISE | F5_FRAGILITY | F4_BLINDNESS,Компрометация | Хрупкость | Слепота,"Башня стоит! Посланники проходят по правилам, письма не текут, журнал не врёт.","Выбор матриц оказался верным. Связи держат, следы ведутся. Перевал снова в порядке.",,"Только 2 матрицы. Матрица Связей закрывает TLS, доступ и живучесть — без неё не выжить. || Discovery без Healthcheck — хрупкость: мёртвые узлы будут получать трафик. || Матрица Копирования — ловушка: она не даёт ни безопасности, ни следов, ни живучести.",REQ_TLS: Шифрование писем (TLS) (HAS_TLS) || REQ_AUTHZ: Контроль доступа (HAS_AUTHZ) || REQ_DISCOVERY: Service discovery (HAS_DISCOVERY) || REQ_FAILOVER: Failover (HAS_FAILOVER) || REQ_AUDIT: Журнал доступа (HAS_ACCESS_LOGS)
L2_LBAAS_FAIR_GATE,4,Служба Врат для ярмарки,Ярмарочный Союз,"Ярмарочный союз требует единую точку входа: домен, TLS, обнаружение узлов, failover, аудит доступа.",16,6,2,F3_COMPROMISE | F5_FRAGILITY | F1_OVERFLOW,Компрометация | Хрупкость | Переполнение,"Врата стоят! Домен найден, TLS держит, узлы мониторятся, аудит пишется.",,,Service discovery без healthcheck — хрупкость. || Access-логи без контроля роста переполнят хранилище.,REQ_DNS: Доменное имя (HAS_DNS) || REQ_TLS: TLS (HAS_TLS) || REQ_DISCOVERY: Service discovery (HAS_DISCOVERY) || REQ_FAILOVER: Failover (HAS_FAILOVER) || REQ_ACCESS_LOGS: Аудитный журнал (HAS_ACCESS_LOGS)
