kind,id,name,allowed_slot_types,gold,aura,aura_limit_delta,unique,treatment_tags,legacy_buffs,adds_debt_ids,adds_symptoms,resolves_debt_ids,capabilities_granted,description
spell,S_BROAD_LOGGING,Перо Всевидящего,OBS_LOGS,2,2,,yes,Ясность,,D_LOG_NOISE,🪰 Путаница,,HAS_LOGS (Широкое логирование),"Записывает всё подряд — каждый звук, шорох и пролетевшего комара. В таком потоке шума нужного не найдёшь."
spell,S_NET_JOURNAL,Сетевой Журнал,NET_ROUTING,4,0,,yes,Ясность | Аудит,,D_ACCESS_LOG_VOLUME,⚗️ Переполнение,D_AUDIT_NEEDED,HAS_ACCESS_LOGS (Журнал доступа),"Фиксирует все соединения на уровне сети — кто подключился и когда. Технически сложно, но предсказуемо."
spell,S_LIB_LOGS,Хроника Читальни,OBS_LOGS,2,3,,yes,Ясность | Аудит,,D_ACCESS_LOG_VOLUME,⚗️ Переполнение,D_AUDIT_NEEDED,HAS_ACCESS_LOGS (Журнал доступа),"Ведёт подробный журнал каждого обращения к фолиантам. Дёшево, но операционный риск высок — данные чувствительны."
spell,S_LOGGING,Перо Летописца,OBS_LOGS,2,1,,yes,Ясность,,D_LOG_VOLUME,⚗️ Переполнение,,HAS_LOGS (Широкое логирование),Записывает события системы в журнал
spell,S_LOG_FILTER,Сито Смыслов,OBS_FILTERS,2,-1,,yes,Чистота,,,,,HAS_LOG_FILTERING (Фильтр логов),Фильтрует и очищает поток логов — снижает объём любых журналов
spell,S_ACCESS_LOGS,Книга Доступа,OBS_LOGS,3,1,,yes,Ясность | Аудит,,D_ACCESS_LOG_VOLUME,⚗️ Переполнение,D_AUDIT_NEEDED | D_NO_OBSERVABILITY,HAS_ACCESS_LOGS (Журнал доступа),Ведёт аудитный журнал всех входов и обращений
spell,S_ALERTING,Набат Тревоги,OBS_ALERTS,2,1,,yes,,,,,,HAS_ALERTING (Алерты),Оповещает о сбоях в реальном времени
spell,S_TTL,Песочные Часы,ST_RETENTION,2,2,,yes,Чистота,,,,,HAS_TTL (Автоочистка по времени),Автоматически истекает старые записи по времени
spell,S_ROTATION,Метла Кладовщика,ST_RETENTION,2,1,,yes,Чистота,,,,,HAS_ROTATION (Ротация данных),Периодически очищает и ротирует хранилище
spell,S_QUOTAS,Предел Закромов,ST_QUOTA,2,1,,yes,Чистота,,,,,HAS_QUOTAS (Квоты арендаторов),Устанавливает жёсткие квоты на объём хранения
spell,S_INDEX,Клеймо Поиска,ST_INDEX,2,1,,yes,,,D_INDEX_GROWTH,⚗️ Переполнение,,HAS_INDEX (Индексирование),Индексирует данные для быстрого поиска
spell,S_SECRETS,Сейф Тайнописи,ST_SECRETS,3,0,,yes,,,,,,HAS_STORAGE_SECRETS (Хранилище секретов),Шифрует и защищает секреты в хранилище
spell,S_AUTHZ,Страж Порогов,NET_AUTH,4,1,,yes,Изоляция,,,,,HAS_AUTHZ (Изоляция доступа),Контролирует доступ — только своим
spell,S_DNS,Глашатай Домена,NET_DNS,2,1,,yes,Адресность,,D_DNS_EXPOSED,🔓 Компрометация,,HAS_DNS (DNS-резолвер),"Регистрирует постоянное имя службы в открытом реестре. Посланники наконец знают, куда идти — но адрес теперь виден всем."
spell,S_PRIVATE_DNS,Тайный Адрес,NET_DNS,8,1,,yes,Адресность | Конфиденциальность,,,,,HAS_DNS (DNS-резолвер),Регистрирует адрес только во внутреннем реестре. Не виден извне — но дороже обычного имени.
spell,S_TLS_CERT,Печать Серта,NET_TLS,2,1,,yes,Шифрование,,,,,HAS_TLS (Шифрование TLS),"Выдаёт TLS-сертификат, шифрует трафик"
spell,S_GATEWAY_SEAL,Печать Врат,NET_TLS,2,1,,yes,Шифрование,,D_OPEN_ACCESS,🔓 Компрометация,,HAS_TLS (Шифрование TLS),Шифрует трафик шлюза — и сразу ставит вопрос: кто вообще может войти?
spell,S_DISCOVERY,Зов Разведчика,NET_DISCOVERY,2,1,,yes,Обнаружение,,D_NEEDS_HEALTHCHECK,🕸️ Хрупкость,D_HIDDEN_NODES,HAS_DISCOVERY (Сервис-дискавери),Обнаруживает доступные эндпоинты сервисов
spell,S_HEALTHCHECK,Сердцебиение,NET_DISCOVERY,2,1,,yes,,,,,D_NEEDS_HEALTHCHECK | D_SPLIT_OVERLOAD,HAS_HEALTHCHECK (Проверка здоровья) | HAS_FAILOVER (Аварийное переключение),"Проверяет живость узлов, обеспечивает failover"
