level_id,level_name,status_id,status_name,fail_text,advice
L1_MILLER_BARN,Амбар мельника,F1_OVERFLOW,Переполнение,Архив распух и треснул по швам — чернила затопили хранилище.,"Установи TTL, ротацию или квоты, чтобы сдержать рост данных."
L1_MILLER_BARN,Амбар мельника,F4_BLINDNESS,Слепота,Свиток распух от записей о каждом комаре и сквозняке — в этом шуме вора не найти.,Используй целевой журнал доступа вместо широкого логирования. Точность важнее объёма.
L1_MILLER_BARN,Амбар мельника,F7_CONFUSION,Путаница,"Журнал записал всё стадо коров, семь мух и пролётного дрозда — а нужное утонуло в шуме. Используй инструмент, который пишет только то, что важно.",Замени Перо Всевидящего на инструмент точечного аудита — он записывает только нужное.
L2_KESHA_CACHE,"Не Иннокентий, а Кеша",F1_OVERFLOW,Переполнение,Архив распух и треснул по швам — чернила затопили хранилище.,"Установи TTL, ротацию или квоты, чтобы сдержать рост данных."
L2_KESHA_CACHE,"Не Иннокентий, а Кеша",F3_COMPROMISE,Компрометация,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
L3_GENNADY_LIGHTHOUSE,Указатель на перепутье,F3_COMPROMISE,Компрометация,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
L3_GENNADY_LIGHTHOUSE,Указатель на перепутье,F4_BLINDNESS,Слепота,Свиток распух от записей о каждом комаре и сквозняке — в этом шуме вора не найти.,Используй целевой журнал доступа вместо широкого логирования. Точность важнее объёма.
L3_GENNADY_LIGHTHOUSE,Указатель на перепутье,F5_FRAGILITY,Хрупкость,Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
L3_GENNADY_LIGHTHOUSE,Указатель на перепутье,F7_CONFUSION,Путаница,"Журнал записал всё стадо коров, семь мух и пролётного дрозда — а нужное утонуло в шуме. Используй инструмент, который пишет только то, что важно.",Замени Перо Всевидящего на инструмент точечного аудита — он записывает только нужное.
L4_ANASTASIA_GOLDEN,Золотой путь Анастасии,F3_COMPROMISE,Компрометация,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
L4_ANASTASIA_GOLDEN,Золотой путь Анастасии,F4_BLINDNESS,Слепота,Свиток распух от записей о каждом комаре и сквозняке — в этом шуме вора не найти.,Используй целевой журнал доступа вместо широкого логирования. Точность важнее объёма.
L4_ANASTASIA_GOLDEN,Золотой путь Анастасии,F5_FRAGILITY,Хрупкость,Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
L5_KIRA_API,Автоматон-регистратор Киры,F3_COMPROMISE,Компрометация,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
L5_KIRA_API,Автоматон-регистратор Киры,F5_FRAGILITY,Хрупкость,Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
L5_KIRA_API,Автоматон-регистратор Киры,F6_NONDELIVERY,Недоставка,Ритуал доставки каждый раз выходит по‑разному — воспроизвести нельзя.,Настрой воспроизводимый контур доставки с откатом и гейтами.
L5_KIRA_API,Автоматон-регистратор Киры,F8_AUDIT_GAP,Дыра аудита,"Партнёрский вызов прошёл, но в книге доступа пустая строка: общие логи не доказывают, кто трогал API.","Поставь Книгу Доступа (`S_ACCESS_LOGS`). Она закрывает долг аудита, а фильтр или архив уже лечат объём."
L5_KIRA_API,Автоматон-регистратор Киры,F9_UNREVIEWED_RELEASE,Непроверенный релиз,"Пайплайн живой, но ворота MR открыты: изменение можно протолкнуть без проверки.","Добавь Стража Врат API (`S_API_MR_GATES`) в слот `CD_GATES`, чтобы релизы проходили через review gate."
L5_KIRA_API,Автоматон-регистратор Киры,F10_CONTRACT_DRIFT,Разъезд контрактов,"Шлюз обновился, а партнёрские договоры API не сверили — интеграции начали говорить на разных языках.","Добавь Испытания Договоров (`S_CONTRACT_TESTS`) в delivery-контур, чтобы ловить разъезд контрактов до прода."
L6_MARK_SHARDING,Голуби Марка,F1_OVERFLOW,Переполнение,Архив распух и треснул по швам — чернила затопили хранилище.,"Установи TTL, ротацию или квоты, чтобы сдержать рост данных."
L6_MARK_SHARDING,Голуби Марка,F2_CONTRADICTION,Противоречие,Руны спорят и гасят друг друга — несовместимые печати конфликтуют.,Убери одно из конфликтующих заклинаний или добавь Арбитра Печатей.
L6_MARK_SHARDING,Голуби Марка,F5_FRAGILITY,Хрупкость,Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
L6_MARK_SHARDING,Голуби Марка,F11_HOTSPOT,Горячий шард,"Один диапазон ключей раскалил отдельный шард: балансировка началась, но горячие ключи и backfill не проверены.",Охлади горячий диапазон `S_HOT_KEY_SPLITTER` и проверь миграционный backfill через `S_MIGRATION_DRY_RUN`.
L6_MARK_SHARDING,Голуби Марка,F12_SPLIT_BRAIN,Раскол кворума,"Реплики отвечают двумя несовместимыми истинами: синхронизация есть, но кворум записи не закреплён.","Добавь `S_QUORUM_KEEPER`, чтобы репликационный контур имел один источник истины."
L6_MARK_SHARDING,Голуби Марка,F13_DARK_SHARD,Тёмный шард,"Часть шардов работает без летописи: ошибки и потерянные свитки не видны до тех пор, пока архив уже не разошёлся.","Добавь наблюдаемость (`S_LOGGING` или совместимый журнал), а затем закрой объём логов фильтром или ритуалом."
L6_MARK_SHARDING,Голуби Марка,F7_CONFUSION,Путаница,"Журнал записал всё стадо коров, семь мух и пролётного дрозда — а нужное утонуло в шуме. Используй инструмент, который пишет только то, что важно.",Замени Перо Всевидящего на инструмент точечного аудита — он записывает только нужное.
L7_EDWARD_MULTIDC,Ковчеги Эдуарда,F5_FRAGILITY,Хрупкость,Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
L7_EDWARD_MULTIDC,Ковчеги Эдуарда,F1_OVERFLOW,Переполнение,Архив распух и треснул по швам — чернила затопили хранилище.,"Установи TTL, ротацию или квоты, чтобы сдержать рост данных."
L7_EDWARD_MULTIDC,Ковчеги Эдуарда,F3_COMPROMISE,Компрометация,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
L7_EDWARD_MULTIDC,Ковчеги Эдуарда,F6_NONDELIVERY,Недоставка,Ритуал доставки каждый раз выходит по‑разному — воспроизвести нельзя.,Настрой воспроизводимый контур доставки с откатом и гейтами.
L7_EDWARD_MULTIDC,Ковчеги Эдуарда,F15_FAILOVER_LOOP,Петля failover,"Обелиски перебрасывают трафик друг другу: локальный healthcheck есть, но общего взгляда на отказ нет.","Поставь `S_GLOBAL_HEALTHCHECK` рядом с discovery, чтобы failover принимал решение из внешнего контура."
