introduced_at_level,name,gold,aura,allowed_slot_types,cell_treatment_tags,cell_debuff_1,cell_debuff_2,description
L1_MILLER_BARN,Перо Всевидящего,2,2,OBS_LOGS,Ясность,Путаница,,"Записывает всё подряд — каждый звук, шорох и пролетевшего комара. В таком потоке шума нужного не найдёшь."
L2_GATEWAY_PASS,Сетевой Журнал,4,0,NET_ROUTING,Ясность | Аудит,Переполнение,,"Фиксирует все соединения на уровне сети — кто подключился и когда. Технически сложно, но предсказуемо."
L4_ANASTASIA_GOLDEN,Хроника Читальни,2,3,OBS_LOGS,Ясность | Аудит,Переполнение,,"Ведёт подробный журнал каждого обращения к фолиантам. Дёшево, но операционный риск высок — данные чувствительны."
L4_ANASTASIA_GOLDEN,Перо Летописца,2,1,OBS_LOGS,Ясность,Переполнение,,Записывает события системы в журнал
L2_KESHA_CACHE,Сито Смыслов,2,-1,OBS_FILTERS,Чистота,,,Фильтрует и очищает поток логов — снижает объём любых журналов
L1_MILLER_BARN,Книга Доступа,3,1,OBS_LOGS,Ясность | Аудит,Переполнение,,Ведёт аудитный журнал всех входов и обращений
L3_NEW_CASTLE,Набат Тревоги,2,1,OBS_ALERTS,,,,Оповещает о сбоях в реальном времени
L1_MILLER_BARN,Песочные Часы,2,2,ST_RETENTION,Чистота,,,Автоматически истекает старые записи по времени
L1_MILLER_BARN,Метла Кладовщика,2,1,ST_RETENTION,Чистота,,,Периодически очищает и ротирует хранилище
L2_KESHA_CACHE,Предел Закромов,2,1,ST_QUOTA,Чистота,,,Устанавливает жёсткие квоты на объём хранения
L1_LIBRARY_ORBS,Клеймо Поиска,2,1,ST_INDEX,,Переполнение,,Индексирует данные для быстрого поиска
,Сейф Тайнописи,3,0,ST_SECRETS,,,,Шифрует и защищает секреты в хранилище
L2_KESHA_CACHE,Страж Порогов,4,1,NET_AUTH,Изоляция,,,Контролирует доступ — только своим
L3_GENNADY_LIGHTHOUSE,Глашатай Домена,2,1,NET_DNS,Адресность,Компрометация,,"Регистрирует постоянное имя службы в открытом реестре. Посланники наконец знают, куда идти — но адрес теперь виден всем."
L3_GENNADY_LIGHTHOUSE,Тайный Адрес,8,1,NET_DNS,Адресность | Конфиденциальность,,,Регистрирует адрес только во внутреннем реестре. Не виден извне — но дороже обычного имени.
L3_GENNADY_LIGHTHOUSE,Печать Серта,2,1,NET_TLS,Шифрование,,,"Выдаёт TLS-сертификат, шифрует трафик"
L4_ANASTASIA_GOLDEN,Печать Врат,2,1,NET_TLS,Шифрование,Компрометация,,Шифрует трафик шлюза — и сразу ставит вопрос: кто вообще может войти?
L2_GATEWAY_PASS,Зов Разведчика,2,1,NET_DISCOVERY,Обнаружение,Хрупкость,,Обнаруживает доступные эндпоинты сервисов
