order,level_id,scenario_name,why,budget_gold,budget_aura,matrices,assembly
1,L1_MILLER_BARN,Путь A — Книга Доступа + Метла + Печать Прогресса,Единственный путь. R_AI_BUFF (−2 нетто) обязателен: без него 5 монет > бюджет 4.,4,5,Аудитный журнал — уже на поле | Малый погреб — уже на поле,"Аудитный журнал · Логи ← «Книга Доступа» (заклинание, 3⚗ +1✨) | Аудитный журнал · Обряд (наблюдение) ← «Печать Прогресса» (обряд, -2⚗ +3✨) | Малый погреб · Хранение ← «Метла Кладовщика» (заклинание, 2⚗ +1✨)"
2,L2_KESHA_CACHE,Вариант A — M_CONNECTIVITY + AuthZ + Квоты + Грант,Субсидия R_LIBRARY_GRANT обязательна: без неё 7 монет > бюджет 6.,6,3,Хранилище-Хранитель — уже на поле | Калитка с печатью — установить (2⚗),"Калитка с печатью · Доступ ← «Страж Порогов» (заклинание, 4⚗ +1✨) | Хранилище-Хранитель · Квоты ← «Предел Закромов» (заклинание, 2⚗ +1✨) | Хранилище-Хранитель · Обряд (хранение) ← «Академический Грант» (обряд, -2⚗ -1✨)"
2,L2_KESHA_CACHE,Вариант B — M_OBSERVATION + Онбординг + Квоты,Дешевле (5 монет) и убирает ауру. R_ONBOARDING требует Матрицу Взгляда.,6,3,Хранилище-Хранитель — уже на поле | Аудитный журнал — установить (2⚗),"Аудитный журнал · Обряд (наблюдение) ← «Свиток Наставлений» (обряд, 1⚗ -2✨) | Хранилище-Хранитель · Квоты ← «Предел Закромов» (заклинание, 2⚗ +1✨)"
3,L3_GENNADY_LIGHTHOUSE,"Путь A — дешёвые карты, двойной каскад (Ending A)","DNS(2) → каскад D_DNS_EXPOSED → TLS(2). TrafficSplit(2,+1aura) → каскад D_SPLIT_OVERLOAD → Healthcheck(2). Матрица(2). Итого 10g/1aura. Ритуал не нужен → Финал A.",17,4,Инфраструктурный пост — установить (1⚗) | Стойка маршрутов — установить (2⚗),"Инфраструктурный пост · Discovery ← «Сердцебиение» (заклинание, 2⚗ +1✨) | Инфраструктурный пост · DNS ← «Глашатай Домена» (заклинание, 2⚗ +1✨) | Стойка маршрутов · Маршруты ← «Весы Потоков» (заклинание, 2⚗ +1✨) | Инфраструктурный пост · TLS ← «Печать Серта» (заклинание, 2⚗ +1✨)"
3,L3_GENNADY_LIGHTHOUSE,"Путь B — дорогие карты, ритуал (Ending B)","R_PATRON_SEAL(-2g,+2 auraLimit). PrivateDNS(8g, без каскада) + LocalityRouting(8g, 0 aura). 8+8+2-2=16g. Без ритуала 18g > 16g → провал. Финал B.",17,4,Инфраструктурный пост — установить (1⚗) | Стойка маршрутов — установить (2⚗),"Инфраструктурный пост · Обряд (связь) ← «Печать Мецената» (обряд, -2⚗ +1✨) | Инфраструктурный пост · DNS ← «Тайный Адрес» (заклинание, 8⚗ +1✨) | Стойка маршрутов · Маршруты ← «Карта Земель» (заклинание, 8⚗ +1✨)"
4,L4_ANASTASIA_GOLDEN,Путь A — каскад (GATEWAY_SEAL→AUTHZ + LOGGING→LOG_FILTER),S_GATEWAY_SEAL → D_OPEN_ACCESS → S_AUTHZ. S_LOGGING → D_LOG_VOLUME → S_LOG_FILTER. 14g карты + 3g матрицы = 17 / 4 ауры.,17,5,Край Обелисков — установить (2⚗) | Аудитный журнал — установить (1⚗),"Край Обелисков · Доступ ← «Страж Порогов» (заклинание, 4⚗ +1✨) | Край Обелисков · Discovery ← «Зов Разведчика» (заклинание, 2⚗ +1✨) | Край Обелисков · Discovery ← «Сердцебиение» (заклинание, 2⚗ +1✨) | Аудитный журнал · Фильтры ← «Сито Смыслов» (заклинание, 2⚗ -1✨) | Аудитный журнал · Логи ← «Перо Летописца» (заклинание, 2⚗ +1✨) | Край Обелисков · TLS ← «Печать Врат» (заклинание, 2⚗ +1✨)"
4,L4_ANASTASIA_GOLDEN,Путь B — ритуал (GATEWAY_SEAL→AUTHZ + LOGGING + R_GUARD_TO_BAR),"S_GATEWAY_SEAL → D_OPEN_ACCESS → S_AUTHZ. R_GUARD_TO_BAR резолвит D_LOG_VOLUME, -2 ауры. 14g + 3g = 17 / 3 ауры.",17,5,Край Обелисков — установить (2⚗) | Аудитный журнал — установить (1⚗),"Край Обелисков · Доступ ← «Страж Порогов» (заклинание, 4⚗ +1✨) | Край Обелисков · Discovery ← «Зов Разведчика» (заклинание, 2⚗ +1✨) | Край Обелисков · Discovery ← «Сердцебиение» (заклинание, 2⚗ +1✨) | Аудитный журнал · Логи ← «Перо Летописца» (заклинание, 2⚗ +1✨) | Край Обелисков · Обряд (связь) ← «Стражника в бар» (обряд, 2⚗ -2✨) | Край Обелисков · TLS ← «Печать Врат» (заклинание, 2⚗ +1✨)"
5,L5_KIRA_API,Путь A — Стандарт (Аудитный журнал + S_LOG_FILTER),S_ACCESS_LOGS → D_ACCESS_LOG_VOLUME → S_LOG_FILTER. S_API_CICD → D_NEEDS_ROLLBACK + D_NO_REVIEW_GATES; S_ROLLBACK и S_API_MR_GATES закрывают хвосты. S_API_MR_GATES → D_PARTNER_CONTRACT_DRIFT → S_CONTRACT_TESTS. 14g карт + 4g матриц = 18 / 5 ауры при лимите 5.,18,3,Базовый шлюз — установить (2⚗) | Аудитный журнал — установить (1⚗) | Конвейер доставки — установить (1⚗),"Базовый шлюз · Доступ ← «Страж Порогов» (заклинание, 4⚗ +1✨) | Конвейер доставки · Обряд (доставка) ← «Печать Мецената» (обряд, -2⚗ +1✨) | Конвейер доставки · Тесты ← «Испытания Договоров» (заклинание, 1⚗) | Аудитный журнал · Фильтры ← «Сито Смыслов» (заклинание, 2⚗ -1✨) | Конвейер доставки · Гейты ← «Страж Врат API» (заклинание, 2⚗ +1✨) | Аудитный журнал · Логи ← «Книга Доступа» (заклинание, 3⚗ +1✨) | Конвейер доставки · Pipeline ← «Ритуал API-доставки» (заклинание, 2⚗ +1✨) | Конвейер доставки · Откат ← «Ключ Отката» (заклинание, 2⚗ +1✨)"
5,L5_KIRA_API,Путь B — Релизный контур (MR gates + Печать Мецената),"Аудит через S_ACCESS_LOGS + R_LOG_ARCHIVE. Конвейер: S_API_CICD → откат + Страж Врат API; затем S_API_MR_GATES → D_PARTNER_CONTRACT_DRIFT → S_CONTRACT_TESTS. R_PATRON_SEAL (−2g, +2 лимит ауры) вмещает гейты. 14g карт + 4g матриц = 18 / 4 ауры при лимите 5.",18,3,Базовый шлюз — установить (2⚗) | Аудитный журнал — установить (1⚗) | Конвейер доставки — установить (1⚗),"Базовый шлюз · Доступ ← «Страж Порогов» (заклинание, 4⚗ +1✨) | Конвейер доставки · Обряд (доставка) ← «Печать Мецената» (обряд, -2⚗ +1✨) | Конвейер доставки · Тесты ← «Испытания Договоров» (заклинание, 1⚗) | Конвейер доставки · Гейты ← «Страж Врат API» (заклинание, 2⚗ +1✨) | Аудитный журнал · Логи ← «Книга Доступа» (заклинание, 3⚗ +1✨) | Аудитный журнал · Обряд (наблюдение) ← «Архивация Хроник» (обряд, 2⚗ -2✨) | Конвейер доставки · Pipeline ← «Ритуал API-доставки» (заклинание, 2⚗ +1✨) | Конвейер доставки · Откат ← «Ключ Отката» (заклинание, 2⚗ +1✨)"
6,L6_MARK_SHARDING,Путь A — Технический (S_SHARD_KEY + S_LOG_FILTER),S_SHARD_KEY→D_SHARD_IMBALANCE→S_REBALANCER→D_REBALANCE_WINDOW + D_HOT_PARTITION; S_MIGRATION_DRY_RUN и S_HOT_KEY_SPLITTER закрывают хвосты. S_SCHEMA_GUARD→D_NEEDS_MIGRATION + D_BACKFILL_UNVERIFIED→S_CICD/S_ROLLBACK + dry-run. 18g+6g=24 / 5 аур.,24,5,Маршрутизатор Шардов — установить (2⚗) | Аудитный журнал — установить (1⚗) | Хранилище-Хранитель — установить (2⚗) | Конвейер Миграций — установить (1⚗),"Аудитный журнал · Фильтры ← «Сито Смыслов» (заклинание, 2⚗ -1✨) | Аудитный журнал · Логи ← «Перо Летописца» (заклинание, 2⚗ +1✨) | Конвейер Миграций · Pipeline ← «Ритуал Доставки» (заклинание, 2⚗ +1✨) | Хранилище-Хранитель · Квоты ← «Перераспределитель Шардов» (заклинание, 2⚗ +1✨) | Конвейер Миграций · Откат ← «Ключ Отката» (заклинание, 2⚗ +1✨) | Хранилище-Хранитель · Хранение ← «Страж Схемы» (заклинание, 3⚗ +1✨) | Маршрутизатор Шардов · Маршруты ← «Ключ Шардирования» (заклинание, 3⚗ +1✨) | Маршрутизатор Шардов · Маршруты ← «Расщепитель Горячих Ключей» (заклинание, 1⚗) | Конвейер Миграций · Тесты ← «Сухой Прогон Миграции» (заклинание, 1⚗)"
