status_id,icon,name,removed_by_treatment_tags,report_hints,fail_text,advice
F1_OVERFLOW,⚗️,Переполнение,Распределение | Чистота,Архив распух и треснул по швам — чернила затопили хранилище. | Бесконтрольный рост данных сломал хранилище изнутри.,Архив распух и треснул по швам — чернила затопили хранилище.,"Установи TTL, ротацию или квоты, чтобы сдержать рост данных."
F10_CONTRACT_DRIFT,📜,Разъезд контрактов,Проверка | Совместимость | Согласованность,"Партнёр пришёл со старым договором API, а шлюз уже говорит на другом языке. | Релиз вышел, но контракты партнёров не сверили — интеграции рассыпались.","Шлюз обновился, а партнёрские договоры API не сверили — интеграции начали говорить на разных языках.","Добавь Испытания Договоров (`S_CONTRACT_TESTS`) в delivery-контур, чтобы ловить разъезд контрактов до прода."
F11_HOTSPOT,🔥,Горячий шард,Баланс | Охлаждение | Привязка,"Один шард раскалился от ключей, пока остальные простаивали. | Перераспределение началось, но горячий диапазон всё ещё жжёт хранилище.","Один диапазон ключей раскалил отдельный шард: балансировка началась, но горячие ключи и backfill не проверены.",Охлади горячий диапазон `S_HOT_KEY_SPLITTER` и проверь миграционный backfill через `S_MIGRATION_DRY_RUN`.
F12_SPLIT_BRAIN,🧠,Раскол кворума,Кворум | Согласование | Согласованность,"Две группы реплик решили, что каждая из них главная. | Кворум распался: шарды отвечают уверенно, но разными истинами.","Реплики отвечают двумя несовместимыми истинами: синхронизация есть, но кворум записи не закреплён.","Добавь `S_QUORUM_KEEPER`, чтобы репликационный контур имел один источник истины."
F13_DARK_SHARD,🌑,Тёмный шард,Ясность,"Один из шардов пропал из летописи: он ещё работает, но никто не видит его полёты. | Голуби несут свитки в темноту — ошибок нет только потому, что их некому записать.","Часть шардов работает без летописи: ошибки и потерянные свитки не видны до тех пор, пока архив уже не разошёлся.","Добавь наблюдаемость (`S_LOGGING` или совместимый журнал), а затем закрой объём логов фильтром или ритуалом."
F15_FAILOVER_LOOP,🔁,Петля failover,Надёжность | Устойчивость,"Трафик мечется между дата-центрами: каждый считает соседа больным. | Локальные проверки живы, но глобальный контур переключения вошёл в вечный круг.","Обелиски перебрасывают трафик друг другу: локальный healthcheck есть, но общего взгляда на отказ нет.","Поставь `S_GLOBAL_HEALTHCHECK` рядом с discovery, чтобы failover принимал решение из внешнего контура."
F16_CAPACITY_GAP,🏚️,Провал резерва,Резерв,"Второй дата-центр есть на карте, но не выдерживает полный поток первого. | Резервная ёмкость не зеркалирована: авария превращает запасной обелиск в бутылочное горлышко.",Резервный дата-центр не держит полный поток: отказ первого превращается в переполнение второго.,Добавь `S_CAPACITY_MIRROR` и закрой появившийся `D_MIRROR_QUOTA_GAP` квотами.
F2_CONTRADICTION,⚡,Противоречие,Арбитраж,"Руны спорят и гасят друг друга — печати конфликтуют. | Несовместимые заклинания наложены одновременно, магия рассыпалась.",Руны спорят и гасят друг друга — несовместимые печати конфликтуют.,Убери одно из конфликтующих заклинаний или добавь Арбитра Печатей.
F3_COMPROMISE,🔓,Компрометация,Изоляция | Конфиденциальность | Шифрование,Калитка без стражи — любой мог пройти незамеченным. | Печать подделана: защита есть лишь на бумаге.,Калитка без стражи — любой мог пройти незамеченным.,"Убедись, что доступ огорожен: AuthZ, TLS и шифрование должны быть на месте."
F4_BLINDNESS,🙈,Слепота,Адресность | Ясность,"Зеркало потускнело — следов не осталось, наблюдатель спит. | Никто не знал, что происходило внутри — и когда всё рухнуло, было поздно.",Свиток распух от записей о каждом комаре и сквозняке — в этом шуме вора не найти.,Используй целевой журнал доступа вместо широкого логирования. Точность важнее объёма.
F5_FRAGILITY,🕸️,Хрупкость,Синхронность | Устойчивость,"Мост держался на одной опоре — и она рухнула. | Стоило одному узлу захромать, и вся конструкция посыпалась.",Мост держался на одной опоре — и она рухнула.,"Добавь проверки живости и возможность отката, чтобы система выдержала сбой."
F6_NONDELIVERY,🌀,Недоставка,Доставка,Ритуал доставки каждый раз получался по‑разному — воспроизвести нельзя. | Без обряда повторяемости прод не принимает изменения.,Ритуал доставки каждый раз выходит по‑разному — воспроизвести нельзя.,Настрой воспроизводимый контур доставки с откатом и гейтами.
F7_CONFUSION,🪰,Путаница,Порядок | Равновесие | Согласование,"В журнале — всё стадо коров Мельника, семь мух и один случайный пролётный дрозд. Нужного среди этого нет. | Записал каждую муху, каждую корову, каждый скрип двери. Когда случилось важное — оно утонуло в шуме.","Журнал записал всё стадо коров, семь мух и пролётного дрозда — а нужное утонуло в шуме. Используй инструмент, который пишет только то, что важно.",Замени Перо Всевидящего на инструмент точечного аудита — он записывает только нужное.
F8_AUDIT_GAP,🕳️,Дыра аудита,Аудит,"Партнёрский вызов прошёл, но в книге доступа пустая строка. | Общие логи шумят, а кто именно трогал API — не доказать.","Партнёрский вызов прошёл, но в книге доступа пустая строка: общие логи не доказывают, кто трогал API.","Поставь Книгу Доступа (`S_ACCESS_LOGS`). Она закрывает долг аудита, а фильтр или архив уже лечат объём."
F9_UNREVIEWED_RELEASE,🚪,Непроверенный релиз,Проверка,"Изменение проскочило в прод без стража на воротах MR. | Пайплайн есть, но любую ветку всё ещё можно протолкнуть без проверки.","Пайплайн живой, но ворота MR открыты: изменение можно протолкнуть без проверки.","Добавь Стража Врат API (`S_API_MR_GATES`) в слот `CD_GATES`, чтобы релизы проходили через review gate."
